episode:  100000 , loss:  0 , win_rate:  1.0
episode:  466000 , loss:  1.89543e-05 , win_rate:  0.740014371545
episode:  468000 , loss:  1.38676e-05 , win_rate:  0.74006320635
episode:  470000 , loss:  1.99614e-05 , win_rate:  0.740103405126
episode:  472000 , loss:  1.85784e-05 , win_rate:  0.740014139747
episode:  474000 , loss:  2.42924e-05 , win_rate:  0.740014064134
episode:  476000 , loss:  2.21271e-05 , win_rate:  0.739899627927
episode:  478000 , loss:  1.63112e-05 , win_rate:  0.739931904942
episode:  480000 , loss:  2.56199e-05 , win_rate:  0.739850684603
episode:  482000 , loss:  2.6723e-05 , win_rate:  0.739744136795
episode:  484000 , loss:  3.33808e-05 , win_rate:  0.739732448613
episode:  486000 , loss:  2.23012e-05 , win_rate:  0.739679430882
episode:  488000 , loss:  1.35081e-05 , win_rate:  0.739668196731
episode:  490000 , loss:  1.35309e-05 , win_rate:  0.739613488171
episode:  492000 , loss:  1.93706e-05 , win_rate:  0.739569541914
episode:  494000 , loss:  1.5941e-05 , win_rate:  0.739513351489
episode:  496000 , loss:  2.33241e-05 , win_rate:  0.739341567319
episode:  498000 , loss:  1.17463e-05 , win_rate:  0.739292112331
save:  500000
episode:  500000 , loss:  1.75017e-05 , win_rate:  0.739243151892
episode:  502000 , loss:  1.70413e-05 , win_rate:  0.739202141288
episode:  504000 , loss:  2.03837e-05 , win_rate:  0.739139259556
episode:  506000 , loss:  2.20888e-05 , win_rate:  0.73913857355
episode:  508000 , loss:  4.43232e-05 , win_rate:  0.739103580628
episode:  510000 , loss:  2.04425e-05 , win_rate:  0.73910063634
episode:  512000 , loss:  1.30124e-05 , win_rate:  0.739054031422
episode:  514000 , loss:  2.7735e-05 , win_rate:  0.738976475902
episode:  516000 , loss:  2.68808e-05 , win_rate:  0.738964569797
episode:  518000 , loss:  1.84028e-05 , win_rate:  0.738947992947
episode:  520000 , loss:  1.48569e-05 , win_rate:  0.738960145333
episode:  522000 , loss:  2.82037e-05 , win_rate:  0.738936637591
episode:  524000 , loss:  1.78925e-05 , win_rate:  0.738903917679
episode:  526000 , loss:  1.79754e-05 , win_rate:  0.738937232542
episode:  528000 , loss:  1.82153e-05 , win_rate:  0.738914161416
episode:  530000 , loss:  2.0029e-05 , win_rate:  0.738879677024
episode:  350000 , loss:  0 , win_rate:  1.0
episode:  352000 , loss:  2.16173e-05 , win_rate:  0.750624687656
episode:  354000 , loss:  1.70359e-05 , win_rate:  0.752811797051
episode:  356000 , loss:  2.3933e-05 , win_rate:  0.763872687885
episode:  358000 , loss:  2.65873e-05 , win_rate:  0.766654168229
episode:  360000 , loss:  2.42623e-05 , win_rate:  0.769823017698
episode:  362000 , loss:  7.94389e-06 , win_rate:  0.77151904008
episode:  364000 , loss:  2.21381e-05 , win_rate:  0.772659095779
episode:  366000 , loss:  1.99081e-05 , win_rate:  0.775014061621
episode:  368000 , loss:  1.93077e-05 , win_rate:  0.777567912894
episode:  370000 , loss:  1.51378e-05 , win_rate:  0.77981100945
episode:  372000 , loss:  1.82213e-05 , win_rate:  0.780237261943
episode:  374000 , loss:  1.41561e-05 , win_rate:  0.77971751177
episode:  376000 , loss:  2.57508e-05 , win_rate:  0.778777739318
episode:  378000 , loss:  3.16589e-05 , win_rate:  0.778507910432
episode:  380000 , loss:  3.56726e-05 , win_rate:  0.779707343089
episode:  382000 , loss:  2.40859e-05 , win_rate:  0.779725633574
episode:  384000 , loss:  3.00858e-05 , win_rate:  0.779330019705
episode:  386000 , loss:  2.26918e-05 , win_rate:  0.780228326991
episode:  388000 , loss:  2.46209e-05 , win_rate:  0.779611062867
episode:  390000 , loss:  1.72755e-05 , win_rate:  0.779955501112
episode:  392000 , loss:  2.4462e-05 , win_rate:  0.780362372324
episode:  394000 , loss:  2.4813e-05 , win_rate:  0.780686802573
episode:  396000 , loss:  1.33394e-05 , win_rate:  0.780330862373
episode:  398000 , loss:  1.56252e-05 , win_rate:  0.780983729506
save:  400000
episode:  400000 , loss:  1.55665e-05 , win_rate:  0.781064378712
episode:  402000 , loss:  1.8435e-05 , win_rate:  0.781119593854
episode:  404000 , loss:  1.73685e-05 , win_rate:  0.781504046221
episode:  406000 , loss:  2.16848e-05 , win_rate:  0.781111051588
episode:  408000 , loss:  1.35962e-05 , win_rate:  0.781400320684
episode:  410000 , loss:  3.22044e-05 , win_rate:  0.781520307995
episode:  412000 , loss:  1.76206e-05 , win_rate:  0.781648683086
episode:  414000 , loss:  2.29698e-05 , win_rate:  0.782034655709
episode:  416000 , loss:  1.33226e-05 , win_rate:  0.782563900547
episode:  418000 , loss:  1.58677e-05 , win_rate:  0.782517904148
episode:  420000 , loss:  2.42625e-05 , win_rate:  0.782488821588
episode:  422000 , loss:  1.65618e-05 , win_rate:  0.782600241663
episode:  424000 , loss:  1.93619e-05 , win_rate:  0.782975905731
episode:  426000 , loss:  1.97623e-05 , win_rate:  0.78312127472
episode:  428000 , loss:  1.17368e-05 , win_rate:  0.782913039576
episode:  430000 , loss:  3.16039e-05 , win_rate:  0.783052711841
episode:  432000 , loss:  1.74951e-05 , win_rate:  0.783709954757
episode:  434000 , loss:  1.97443e-05 , win_rate:  0.783835906715
episode:  436000 , loss:  1.10365e-05 , win_rate:  0.784095533773
episode:  438000 , loss:  1.65368e-05 , win_rate:  0.784218361155
episode:  440000 , loss:  2.03632e-05 , win_rate:  0.784269063677
episode:  442000 , loss:  3.55271e-05 , win_rate:  0.784230606189
episode:  444000 , loss:  1.51867e-05 , win_rate:  0.784470377975
episode:  446000 , loss:  1.90215e-05 , win_rate:  0.784814741513
episode:  448000 , loss:  1.58259e-05 , win_rate:  0.78518586545
save:  450000
episode:  450000 , loss:  9.58081e-06 , win_rate:  0.785352146479
episode:  452000 , loss:  2.65214e-05 , win_rate:  0.785502102921
episode:  454000 , loss:  1.14601e-05 , win_rate:  0.785530908357
episode:  456000 , loss:  1.8672e-05 , win_rate:  0.785737870397
episode:  458000 , loss:  2.309e-05 , win_rate:  0.785798279646
episode:  460000 , loss:  1.85312e-05 , win_rate:  0.785511040809
episode:  462000 , loss:  2.35654e-05 , win_rate:  0.785510843653
episode:  464000 , loss:  2.52181e-05 , win_rate:  0.785651003061
episode:  466000 , loss:  1.40318e-05 , win_rate:  0.785786329428
episode:  468000 , loss:  1.68223e-05 , win_rate:  0.786018762553
episode:  470000 , loss:  1.91918e-05 , win_rate:  0.785785118457
episode:  472000 , loss:  2.09128e-05 , win_rate:  0.785747657806
episode:  474000 , loss:  2.62663e-05 , win_rate:  0.785929145733
episode:  476000 , loss:  2.66514e-05 , win_rate:  0.785628685487
episode:  478000 , loss:  2.0771e-05 , win_rate:  0.785634487231
episode:  480000 , loss:  1.61951e-05 , win_rate:  0.785317036023
episode:  482000 , loss:  1.83151e-05 , win_rate:  0.785274353982
episode:  484000 , loss:  1.25329e-05 , win_rate:  0.785523988627
episode:  486000 , loss:  1.73699e-05 , win_rate:  0.785758928243
episode:  488000 , loss:  2.64351e-05 , win_rate:  0.785747929363
episode:  490000 , loss:  1.05466e-05 , win_rate:  0.785908672081
episode:  492000 , loss:  1.50405e-05 , win_rate:  0.785973338216
episode:  494000 , loss:  2.22829e-05 , win_rate:  0.785890375761
episode:  496000 , loss:  1.60638e-05 , win_rate:  0.785850781844
episode:  498000 , loss:  1.41041e-05 , win_rate:  0.785994689225
save:  500000
episode:  500000 , loss:  1.76022e-05 , win_rate:  0.786141425724
episode:  502000 , loss:  1.67692e-05 , win_rate:  0.786054039118
episode:  504000 , loss:  1.38917e-05 , win_rate:  0.785657235992
episode:  506000 , loss:  2.64811e-05 , win_rate:  0.785635989513
episode:  508000 , loss:  3.63464e-05 , win_rate:  0.785393763331
